idx,hypernym_score,negative_score
60,-3.777988910675049,-4.833560466766357
61,-4.608626365661621,-5.489001274108887
62,-4.608626365661621,-5.665547847747803
63,-4.608626365661621,-6.053164958953857
64,-4.608626365661621,-5.3950018882751465
65,-4.251795291900635,-5.77442741394043
66,-4.251795291900635,-6.068910121917725
67,-4.251795291900635,-5.538173198699951
68,-4.251795291900635,-5.163635730743408
69,-4.232177734375,-5.412556171417236
70,-4.232177734375,-5.078240394592285
71,-4.232177734375,-5.114790916442871
72,-4.232177734375,-4.932161331176758
73,-4.331114768981934,-5.326812744140625
74,-4.331114768981934,-5.004001140594482
75,-4.331114768981934,-5.169459342956543
76,-4.331114768981934,-5.135425567626953
77,-3.961374282836914,-4.8834638595581055
78,-3.961374282836914,-5.03990364074707
79,-3.961374282836914,-5.013492584228516
80,-3.961374282836914,-4.3966546058654785
81,-4.8387627601623535,-5.082595348358154
82,-4.8387627601623535,-5.497069358825684
83,-4.8387627601623535,-5.970052719116211
84,-4.8387627601623535,-4.728254795074463
85,-4.421523571014404,-5.517935752868652
86,-4.421523571014404,-5.916123390197754
87,-4.421523571014404,-5.019323825836182
88,-4.421523571014404,-5.059053897857666
89,-4.463458061218262,-5.513835430145264
90,-4.463458061218262,-4.791139602661133
91,-4.463458061218262,-4.742543697357178
92,-4.463458061218262,-4.9351983070373535
93,-4.241519451141357,-5.413397789001465
94,-4.241519451141357,-5.076104164123535
95,-4.241519451141357,-5.183059215545654
96,-4.241519451141357,-5.599005699157715
97,-4.006850242614746,-4.864479064941406
98,-4.006850242614746,-4.709906578063965
99,-4.006850242614746,-4.05257511138916
100,-4.006850242614746,-4.396744251251221
101,-3.6309874057769775,-4.418063640594482
102,-3.6309874057769775,-4.58992338180542
103,-3.6309874057769775,-4.363340377807617
104,-3.6309874057769775,-4.411007881164551
105,-3.7156262397766113,-4.755579471588135
106,-3.7156262397766113,-4.053673267364502
107,-3.7156262397766113,-4.864479064941406
108,-3.7156262397766113,-5.140507698059082
109,-3.379939556121826,-4.653602600097656
110,-3.379939556121826,-4.427307605743408
111,-3.379939556121826,-4.560161590576172
112,-3.379939556121826,-4.189730167388916
113,-4.4705023765563965,-5.65947151184082
114,-4.4705023765563965,-5.928544521331787
115,-4.4705023765563965,-5.3057451248168945
116,-4.4705023765563965,-5.628542423248291
117,-4.3027262687683105,-5.8606719970703125
118,-4.3027262687683105,-6.121915340423584
119,-4.3027262687683105,-5.800240993499756
120,-4.3027262687683105,-4.9077019691467285
121,-4.787814140319824,-5.288619041442871
122,-4.787814140319824,-5.776957988739014
123,-4.787814140319824,-6.121915340423584
124,-4.787814140319824,-5.905755996704102
125,-4.788944244384766,-5.370078086853027
126,-4.788944244384766,-5.550221920013428
127,-4.788944244384766,-5.787126541137695
128,-4.788944244384766,-5.927149295806885
129,-3.52665638923645,-4.463287353515625
130,-3.52665638923645,-4.661235332489014
131,-3.52665638923645,-4.521159648895264
132,-3.52665638923645,-4.529830455780029
133,-4.334840297698975,-4.886463165283203
134,-4.334840297698975,-5.370603561401367
135,-4.334840297698975,-5.706372261047363
136,-4.334840297698975,-4.382546424865723
137,-4.520441055297852,-5.43275785446167
138,-4.520441055297852,-5.047554016113281
139,-4.520441055297852,-5.706372261047363
140,-4.520441055297852,-4.886463165283203
141,-3.709500789642334,-5.084201335906982
142,-3.709500789642334,-5.093142509460449
143,-3.709500789642334,-5.4283294677734375
144,-3.709500789642334,-5.016152381896973
145,-3.846804141998291,-4.8519978523254395
146,-3.846804141998291,-4.59171199798584
147,-3.846804141998291,-4.480473518371582
148,-3.846804141998291,-4.422832489013672
149,-3.879775047302246,-4.838589668273926
150,-3.879775047302246,-4.59171199798584
151,-3.879775047302246,-4.533123970031738
152,-3.879775047302246,-4.765544414520264
153,-3.8389670848846436,-4.275108814239502
154,-3.8389670848846436,-4.4323410987854
155,-3.8389670848846436,-4.55901575088501
156,-3.8389670848846436,-4.433165550231934
157,-3.8385214805603027,-4.630398750305176
158,-3.8385214805603027,-4.4947004318237305
159,-3.8385214805603027,-4.835908889770508
160,-3.8385214805603027,-4.912690162658691
161,-3.674586772918701,-4.5471601486206055
162,-3.674586772918701,-4.481281757354736
163,-3.674586772918701,-4.263593673706055
164,-3.674586772918701,-4.835912227630615
165,-4.744453430175781,-4.321978569030762
