idx,hypernym_score,negative_score
103,-3.380523443222046,-4.224220275878906
104,-3.380523443222046,-3.916019916534424
105,-3.2585229873657227,-4.353308200836182
106,-3.2585229873657227,-3.974127769470215
107,-3.2585229873657227,-4.368229866027832
108,-3.2585229873657227,-4.528975009918213
109,-2.973344564437866,-4.433429718017578
110,-2.973344564437866,-4.078336238861084
111,-2.973344564437866,-4.354452133178711
112,-2.973344564437866,-3.7691073417663574
113,-3.180211067199707,-4.732424736022949
114,-3.180211067199707,-4.6231513023376465
115,-3.180211067199707,-3.751509189605713
116,-3.180211067199707,-4.772346496582031
117,-3.0990006923675537,-4.385635852813721
118,-3.0990006923675537,-4.741365432739258
119,-3.0990006923675537,-4.945981025695801
120,-3.0990006923675537,-4.483997821807861
121,-3.553319215774536,-3.92254900932312
122,-3.553319215774536,-4.662831783294678
123,-3.553319215774536,-4.741365432739258
124,-3.553319215774536,-4.825830459594727
125,-3.5147767066955566,-3.9372518062591553
126,-3.5147767066955566,-4.327939510345459
127,-3.5147767066955566,-4.377715587615967
128,-3.5147767066955566,-4.931188583374023
129,-3.035726547241211,-3.9581096172332764
130,-3.035726547241211,-4.525285720825195
131,-3.035726547241211,-4.127702713012695
132,-3.035726547241211,-4.30371618270874
133,-4.067317485809326,-4.055087089538574
134,-4.067317485809326,-4.809406280517578
135,-4.067317485809326,-5.001168251037598
136,-4.067317485809326,-3.87918758392334
137,-4.133456230163574,-4.983953475952148
138,-4.133456230163574,-4.5157470703125
139,-4.133456230163574,-5.001168251037598
140,-4.133456230163574,-4.055087089538574
141,-3.277339458465576,-4.780886650085449
142,-3.277339458465576,-4.676291465759277
143,-3.277339458465576,-5.222221374511719
144,-3.277339458465576,-4.448609352111816
145,-3.3160946369171143,-4.680767059326172
146,-3.3160946369171143,-4.087576866149902
147,-3.3160946369171143,-3.951237440109253
148,-3.3160946369171143,-4.296737194061279
149,-3.6197876930236816,-4.492945194244385
150,-3.6197876930236816,-4.087576866149902
151,-3.6197876930236816,-4.077836990356445
152,-3.6197876930236816,-4.333505153656006
153,-2.576129913330078,-3.196535110473633
154,-2.576129913330078,-3.0503296852111816
155,-2.576129913330078,-3.398465871810913
156,-2.576129913330078,-3.4440701007843018
157,-3.8395724296569824,-4.59285306930542
158,-3.8395724296569824,-4.432699680328369
159,-3.8395724296569824,-4.905432224273682
160,-3.8395724296569824,-4.83477783203125
161,-3.765646457672119,-4.402649879455566
