idx,hypernym_score,negative_score
101,-3.581773519515991,-4.323550701141357
102,-3.581773519515991,-4.576422691345215
103,-3.581773519515991,-4.7718963623046875
104,-3.581773519515991,-4.359943389892578
105,-3.35085129737854,-5.158254623413086
106,-3.35085129737854,-4.510056972503662
107,-3.35085129737854,-4.639737129211426
108,-3.35085129737854,-4.734606742858887
109,-2.778637647628784,-5.154872417449951
110,-2.778637647628784,-4.650646209716797
111,-2.778637647628784,-4.916379928588867
112,-2.778637647628784,-4.316555023193359
113,-4.722567558288574,-5.311801433563232
114,-4.722567558288574,-5.664231777191162
115,-4.722567558288574,-5.181055068969727
116,-4.722567558288574,-5.23948860168457
117,-4.488011360168457,-4.760916233062744
118,-4.488011360168457,-4.718280792236328
119,-4.488011360168457,-5.096854209899902
120,-4.488011360168457,-5.161036491394043
121,-3.2147061824798584,-5.135147571563721
122,-3.2147061824798584,-5.526278495788574
123,-3.2147061824798584,-4.718280792236328
124,-3.2147061824798584,-5.610960006713867
125,-4.563233375549316,-4.9771528244018555
126,-4.563233375549316,-4.518118858337402
127,-4.563233375549316,-5.670694351196289
128,-4.563233375549316,-5.314779281616211
129,-3.4722487926483154,-4.608684539794922
130,-3.4722487926483154,-4.632238388061523
131,-3.4722487926483154,-4.544598579406738
132,-3.4722487926483154,-4.614320278167725
133,-4.216153621673584,-3.7580015659332275
134,-4.216153621673584,-5.290966987609863
135,-4.216153621673584,-4.965890407562256
136,-4.216153621673584,-3.8445329666137695
137,-3.9518134593963623,-5.168142318725586
138,-3.9518134593963623,-4.927524089813232
139,-3.9518134593963623,-4.965890407562256
140,-3.9518134593963623,-3.7580015659332275
141,-3.215369462966919,-4.825125694274902
142,-3.215369462966919,-4.565212249755859
143,-3.215369462966919,-5.169305324554443
144,-3.215369462966919,-4.507662773132324
145,-3.9030394554138184,-5.049077987670898
146,-3.9030394554138184,-4.4130120277404785
147,-3.9030394554138184,-4.261542320251465
148,-3.9030394554138184,-4.7234039306640625
149,-3.51611590385437,-4.49363374710083
150,-3.51611590385437,-4.4130120277404785
151,-3.51611590385437,-4.41624641418457
152,-3.51611590385437,-5.177986145019531
153,-3.2898645401000977,-4.34897518157959
154,-3.2898645401000977,-4.394721031188965
155,-3.2898645401000977,-3.879412889480591
156,-3.2898645401000977,-4.327262878417969
157,-4.1068620681762695,-4.0947089195251465
158,-4.1068620681762695,-4.642778396606445
159,-4.1068620681762695,-3.919698715209961
160,-4.1068620681762695,-5.532434463500977
161,-4.0909953117370605,-5.090956687927246
162,-4.0909953117370605,-4.729695796966553
163,-4.0909953117370605,-4.7051873207092285
164,-4.0909953117370605,-3.919698715209961
165,-5.449453830718994,-4.2325615882873535
166,-5.449453830718994,-4.322215557098389
167,-5.449453830718994,-4.66361665725708
168,-5.449453830718994,-4.734065055847168
169,-4.705570220947266,-4.820242881774902
170,-4.705570220947266,-4.66361665725708
171,-4.705570220947266,-4.817236423492432
172,-4.705570220947266,-5.200990676879883
173,-4.820127010345459,-5.416043758392334
174,-4.820127010345459,-5.440328598022461
175,-4.820127010345459,-5.837161540985107
176,-4.820127010345459,-5.832517623901367
177,-4.341092586517334,-4.946948051452637
178,-4.341092586517334,-5.012729644775391
179,-4.341092586517334,-5.737605571746826
180,-4.341092586517334,-5.219945907592773
181,-3.6017708778381348,-4.345881938934326
182,-3.6017708778381348,-4.1525139808654785
183,-3.6017708778381348,-4.916119575500488
184,-3.6017708778381348,-5.16426944732666
185,-3.501271963119507,-5.288259506225586
186,-3.501271963119507,-4.699863433837891
187,-3.501271963119507,-4.661789894104004
188,-3.501271963119507,-5.490043640136719
189,-4.917304039001465,-5.468658924102783
190,-4.917304039001465,-4.399317264556885
191,-4.917304039001465,-5.573253631591797
192,-4.917304039001465,-4.283129692077637
193,-4.197329998016357,-3.695358991622925
194,-4.197329998016357,-4.831785202026367
195,-4.197329998016357,-4.80150842666626
196,-4.197329998016357,-5.079002380371094
197,-3.4396908283233643,-4.644211769104004
198,-3.4396908283233643,-4.2621870040893555
199,-3.4396908283233643,-4.928004741668701
200,-3.4396908283233643,-3.5680103302001953
201,-3.9536094665527344,-4.2621870040893555
202,-3.9536094665527344,-4.142538070678711
203,-3.9536094665527344,-3.8189525604248047
204,-3.9536094665527344,-3.7211194038391113
205,-3.4462316036224365,-3.226954460144043
206,-3.4462316036224365,-3.700739622116089
