idx,hypernym_score,negative_score
60,-3.702138662338257,-3.388146162033081
61,-3.886749029159546,-4.907680034637451
62,-3.886749029159546,-4.335543632507324
63,-3.886749029159546,-4.451592922210693
64,-3.886749029159546,-4.770987510681152
65,-3.646055221557617,-4.425012111663818
66,-3.646055221557617,-3.738739013671875
67,-3.646055221557617,-4.902617454528809
68,-3.646055221557617,-4.504378795623779
69,-3.7385056018829346,-4.019359588623047
70,-3.7385056018829346,-4.270158767700195
71,-3.7385056018829346,-4.393885135650635
72,-3.7385056018829346,-4.520875930786133
73,-4.089704990386963,-4.778876304626465
74,-4.089704990386963,-4.915931701660156
75,-4.089704990386963,-4.883946895599365
76,-4.089704990386963,-4.80426549911499
77,-3.6066126823425293,-4.591285705566406
78,-3.6066126823425293,-4.9017438888549805
79,-3.6066126823425293,-3.661121129989624
80,-3.6066126823425293,-4.399715423583984
81,-3.8893980979919434,-4.244654655456543
82,-3.8893980979919434,-3.9129421710968018
83,-3.8893980979919434,-4.796210289001465
84,-3.8893980979919434,-3.8353254795074463
85,-3.502941131591797,-4.358931064605713
86,-3.502941131591797,-4.794838905334473
87,-3.502941131591797,-4.03774881362915
88,-3.502941131591797,-4.150750160217285
89,-3.8254475593566895,-5.147012710571289
90,-3.8254475593566895,-4.776414394378662
91,-3.8254475593566895,-5.06077766418457
92,-3.8254475593566895,-4.534562587738037
93,-3.995116710662842,-4.347302436828613
94,-3.995116710662842,-4.918413162231445
95,-3.995116710662842,-4.991244792938232
96,-3.995116710662842,-4.118391990661621
97,-3.6649961471557617,-4.454211711883545
98,-3.6649961471557617,-4.894165515899658
99,-3.6649961471557617,-4.080546855926514
100,-3.6649961471557617,-4.426332950592041
101,-3.5623884201049805,-4.369072914123535
102,-3.5623884201049805,-4.61368465423584
103,-3.5623884201049805,-4.729482650756836
104,-3.5623884201049805,-4.220510959625244
105,-3.4470787048339844,-5.10170841217041
106,-3.4470787048339844,-4.626412868499756
107,-3.4470787048339844,-4.454211711883545
108,-3.4470787048339844,-4.597625255584717
109,-2.7011139392852783,-4.981281757354736
110,-2.7011139392852783,-4.340126991271973
111,-2.7011139392852783,-4.890891075134277
112,-2.7011139392852783,-4.354950428009033
113,-4.448912620544434,-5.366225242614746
114,-4.448912620544434,-5.7091803550720215
115,-4.448912620544434,-5.152102470397949
116,-4.448912620544434,-5.233519554138184
117,-4.613151550292969,-4.838334560394287
118,-4.613151550292969,-4.697184085845947
119,-4.613151550292969,-5.137404441833496
120,-4.613151550292969,-5.2020487785339355
121,-3.2866737842559814,-5.132774353027344
122,-3.2866737842559814,-5.615928649902344
123,-3.2866737842559814,-4.697184085845947
124,-3.2866737842559814,-5.694394111633301
125,-4.570209980010986,-4.986847877502441
126,-4.570209980010986,-4.657105445861816
127,-4.570209980010986,-5.705173015594482
128,-4.570209980010986,-5.563384532928467
129,-3.4260292053222656,-4.351302146911621
130,-3.4260292053222656,-4.569848537445068
131,-3.4260292053222656,-4.405730247497559
132,-3.4260292053222656,-4.6921515464782715
133,-4.268774509429932,-3.7798054218292236
134,-4.268774509429932,-5.456655502319336
135,-4.268774509429932,-5.099562644958496
136,-4.268774509429932,-4.02203369140625
137,-4.181230545043945,-5.471383094787598
138,-4.181230545043945,-5.126543045043945
139,-4.181230545043945,-5.099562644958496
140,-4.181230545043945,-3.7798054218292236
141,-3.282766580581665,-5.013024806976318
142,-3.282766580581665,-4.713464736938477
143,-3.282766580581665,-5.226297378540039
144,-3.282766580581665,-4.863942623138428
145,-4.080264568328857,-5.129860877990723
146,-4.080264568328857,-4.583250045776367
147,-4.080264568328857,-4.344757080078125
148,-4.080264568328857,-4.9770660400390625
149,-3.5982754230499268,-4.597281455993652
150,-3.5982754230499268,-4.583250045776367
151,-3.5982754230499268,-4.477163791656494
152,-3.5982754230499268,-5.074073791503906
153,-3.331232786178589,-4.337310791015625
154,-3.331232786178589,-4.3726935386657715
155,-3.331232786178589,-3.6706740856170654
156,-3.331232786178589,-4.170494079589844
157,-4.163334846496582,-3.9371795654296875
158,-4.163334846496582,-4.626883029937744
159,-4.163334846496582,-4.041619777679443
160,-4.163334846496582,-5.867856502532959
161,-3.9613430500030518,-5.320228576660156
162,-3.9613430500030518,-4.9414262771606445
163,-3.9613430500030518,-5.023946762084961
164,-3.9613430500030518,-4.041619777679443
165,-5.485610008239746,-4.195356845855713
166,-5.485610008239746,-4.269154071807861
167,-5.485610008239746,-4.687163829803467
168,-5.485610008239746,-4.692314147949219
169,-4.709546089172363,-4.845757961273193
170,-4.709546089172363,-4.687163829803467
171,-4.709546089172363,-4.813607215881348
172,-4.709546089172363,-5.215726375579834
173,-4.896136283874512,-5.231694221496582
174,-4.896136283874512,-5.607978820800781
175,-4.896136283874512,-5.81141471862793
176,-4.896136283874512,-5.77679443359375
177,-4.370299816131592,-5.064784526824951
178,-4.370299816131592,-5.039952278137207
179,-4.370299816131592,-5.716630935668945
180,-4.370299816131592,-5.497292518615723
181,-3.6056575775146484,-4.64146089553833
182,-3.6056575775146484,-4.013895511627197
183,-3.6056575775146484,-5.062624931335449
184,-3.6056575775146484,-5.166648864746094
185,-3.572589874267578,-5.612261772155762
186,-3.572589874267578,-4.790664196014404
187,-3.572589874267578,-4.59490442276001
188,-3.572589874267578,-5.8140058517456055
189,-5.04059362411499,-5.703303813934326
190,-5.04059362411499,-4.108255386352539
191,-5.04059362411499,-5.7270402908325195
192,-5.04059362411499,-4.303993225097656
193,-4.21348762512207,-3.68192458152771
194,-4.21348762512207,-5.014927387237549
195,-4.21348762512207,-4.650604248046875
196,-4.21348762512207,-5.033127784729004
197,-3.2039897441864014,-4.610134601593018
198,-3.2039897441864014,-4.218944549560547
199,-3.2039897441864014,-4.957798957824707
200,-3.2039897441864014,-3.5153040885925293
201,-3.8928117752075195,-4.218944549560547
202,-3.8928117752075195,-4.1793389320373535
203,-3.8928117752075195,-3.8685476779937744
204,-3.8928117752075195,-3.604945659637451
205,-3.4441978931427,-3.1110236644744873
206,-3.4441978931427,-3.6463022232055664
207,-3.4441978931427,-3.469562530517578
208,-3.4441978931427,-3.4568235874176025
209,-2.7218399047851562,-3.4568235874176025
210,-2.7218399047851562,-3.363866090774536
211,-2.7218399047851562,-3.7852625846862793
212,-2.7218399047851562,-2.870687484741211
213,-4.919305801391602,-5.059104919433594
214,-4.919305801391602,-5.04091215133667
215,-4.919305801391602,-4.630001544952393
216,-4.919305801391602,-5.161457538604736
217,-4.11429500579834,-4.819204330444336
218,-4.11429500579834,-4.645754337310791
219,-4.11429500579834,-5.001988410949707
220,-4.11429500579834,-4.116502285003662
221,-3.5261521339416504,-5.087484836578369
222,-3.5261521339416504,-5.242063045501709
223,-3.5261521339416504,-4.763838291168213
224,-3.5261521339416504,-4.700214862823486
225,-4.234808444976807,-5.34157133102417
226,-4.234808444976807,-5.266983509063721
227,-4.234808444976807,-4.967319488525391
228,-4.234808444976807,-3.948256492614746
229,-4.0649824142456055,-5.578117370605469
230,-4.0649824142456055,-5.242063045501709
231,-4.0649824142456055,-5.109496593475342
232,-4.0649824142456055,-5.266983509063721
233,-4.208554267883301,-4.637907028198242
234,-4.208554267883301,-4.939355850219727
235,-4.208554267883301,-4.957873821258545
236,-4.208554267883301,-4.964404106140137
237,-3.6713545322418213,-4.633702754974365
238,-3.6713545322418213,-4.438672065734863
239,-3.6713545322418213,-4.013363361358643
240,-3.6713545322418213,-4.5383100509643555
241,-3.041630983352661,-4.677055358886719
242,-3.041630983352661,-4.883475303649902
243,-3.041630983352661,-4.538667678833008
244,-3.041630983352661,-4.757447719573975
245,-4.004509449005127,-4.972987174987793
246,-4.004509449005127,-4.488252639770508
247,-4.004509449005127,-5.425369739532471
248,-4.004509449005127,-4.047316551208496
249,-3.788879871368408,-4.662073135375977
250,-3.788879871368408,-4.718267917633057
251,-3.788879871368408,-3.9195358753204346
252,-3.788879871368408,-5.128800392150879
253,-3.350186586380005,-3.973107099533081
254,-3.350186586380005,-4.484899997711182
255,-3.350186586380005,-4.029040813446045
256,-3.350186586380005,-4.702429294586182
257,-4.426779270172119,-4.755643367767334
258,-4.426779270172119,-4.908095359802246
259,-4.426779270172119,-4.115762233734131
260,-4.426779270172119,-5.234959125518799
261,-3.3953073024749756,-4.115762233734131
262,-3.3953073024749756,-4.87534761428833
263,-3.3953073024749756,-5.384741306304932
264,-3.3953073024749756,-4.833085536956787
265,-3.606252908706665,-5.150317192077637
266,-3.606252908706665,-4.9329400062561035
267,-3.606252908706665,-5.637689590454102
268,-3.606252908706665,-5.262204170227051
269,-4.826483726501465,-5.849782943725586
270,-4.826483726501465,-5.241175174713135
271,-4.826483726501465,-5.594001770019531
272,-4.826483726501465,-4.939739227294922
273,-3.6045289039611816,-5.2694268226623535
274,-3.6045289039611816,-4.729808807373047
275,-3.6045289039611816,-5.094851016998291
276,-3.6045289039611816,-5.091216087341309
